,New York,Los Angeles,Chicago,Houston,Phoenix,Philadelphia,San Francisco,Boston,Seattle,Atlanta,Dallas,Denver,Miami,Washington DC,Toronto,Montreal,Vancouver,Mexico City,Guadalajara,Monterrey,Havana,Sao Paulo,Rio de Janeiro,Brasilia,Buenos Aires,Lima,Bogota,Medellin,Santiago,Caracas,Quito,Montevideo,London,Paris,Berlin,Madrid,Barcelona,Rome,Milan,Amsterdam,Brussels,Vienna,Munich,Zurich,Prague,Warsaw,Budapest,Bucharest,Athens,Stockholm,Copenhagen,Dublin,Lisbon,Kyiv,Moscow,St Petersburg,Istanbul,Ankara,Cairo,Tehran,Baghdad,Riyadh,Jeddah,Dubai,Abu Dhabi,Doha,Amman,Beirut,Jerusalem,Tel Aviv,Casablanca,Algiers,Tunis,Lagos,Kinshasa,Johannesburg,Cape Town,Nairobi,Addis Ababa,Dar es Salaam,Accra,Abidjan,Dakar,Luanda,Khartoum,Mumbai,Delhi,Kolkata,Chennai,Bangalore,Hyderabad,Karachi,Lahore,Islamabad,Dhaka,Colombo,Kathmandu,Tokyo,Osaka,Seoul,Beijing,Shanghai,Guangzhou,Shenzhen,Chengdu,Wuhan,Chongqing,Tianjin,Hong Kong,Taipei,Jakarta,Manila,Bangkok,Singapore,Kuala Lumpur,Ho Chi Minh City,Hanoi,Yangon,Phnom Penh,Sydney,Melbourne,Brisbane,Perth,Auckland
New York,0.0,0.44420703799256245,0.49722784113325547,0.5997919524781432,0.7304711917800406,0.45806475608280806,0.5177369962231304,0.48400765786679134,0.5981535382407801,0.5856472237069826,0.622928224321238,0.5561318290983032,0.6013613117788554,0.5192186468819564,0.5790336876941398,0.6047794050975827,0.7473287840172245,0.6216365766050793,0.7348987638051235,0.7601890147462718,0.723819810105426,0.6578485064492495,0.712095709364247,0.7999155758207938,0.6584405982508823,0.8009629136361035,0.6897946457581605,0.7970230168797254,0.7457453164384107,0.6616676960135308,0.8076708068806471,0.8280468668659401,0.5187518656371473,0.6452412692866749,0.6922761143371181,0.7272848154715912,0.8268151133110437,0.6601436245774494,0.7030222719331058,0.6381707930336039,0.7870998727589726,0.6598517932168039,0.7748918288737214,0.7410324638764935,0.6806056906980502,0.7582490741316537,0.6803710600413648,0.7224107016081626,0.8023491466788775,0.6646198043173499,0.81048278739131,0.7406850575355277,0.8531000147086794,0.7607447414985141,0.6698346805683413,0.706405649659734,0.7094975431468123,0.8761113040147026,0.7168740018925429,0.8043636028050759,0.7908692881889312,0.7606326028577585,0.7753071607649626,0.7052321223220646,0.7071079226104643,0.8347262196131529,0.7677942836371845,0.7480193038940426,0.726352130511068,0.6345323746140585,0.8623620736109754,0.851453455235027,0.8083050014715747,0.7895814048285259,0.8854879633464054,0.7442117319427514,0.7910316352827107,0.7705803507008935,0.7860059607636991,0.8508320065967879,0.8122228922684884,0.8378035527002199,0.9402678006250709,0.8900176985664091,0.9020332359677651,0.6837651196063884,0.7708885507980757,0.7863135524759717,0.7983918509149004,0.7787859444577888,0.7641275621274204,0.7185282649941838,0.7648613638504382,0.7528922095714948,0.7638625047487138,0.760768760755866,0.8253328110862229,0.6413994883132137,0.7383570436552713,0.7032706388412224,0.7577017383134936,0.6772462762833118,0.7807520705628274,0.7957792476040069,0.812729528503152,0.7923044595930744,0.8142463416597604,0.7686422608875421,0.6431911030264017,0.6664833087333217,0.7447361774051282,0.7294442556137106,0.7250334598680237,0.7061845243760971,0.7357419794615103,0.8044765243428142,0.7991083373952858,0.829509648854333,0.8067028736835533,0.6785525257071656,0.7358884562478617,0.8013187813105936,0.8032104464285368,0.8033610710018639
Los Angeles,0.44420703799256245,0.0,0.4474845481328311,0.48552499495371937,0.48055196040594816,0.5191162494128854,0.31144527829447843,0.5572107673480327,0.42645892970881716,0.51635118035983,0.48232668948099866,0.47157994650069446,0.5291712929584496,0.5671377334045178,0.5744108892187214,0.6205460967896923,0.5305862745326362,0.7081669233167943,0.5854744234203653,0.6352526030429074,0.7738662520071655,0.7695547801387268,0.7895964433811365,0.8721585692049509,0.718182640927485,0.789187532985254,0.7473098035200236,0.7717818958892063,0.7088541310666884,0.6498783813697238,0.7865689308387382,0.8539377813453704,0.6029912228577141,0.646207212317571,0.7881097101040646,0.6795906494887805,0.7494102597584689,0.7153023885301975,0.7913095712119325,0.7514922579892378,0.8196849903111733,0.7989792571488528,0.7417921606689966,0.7573108028282614,0.8238760302632437,0.8939382834646667,0.7341366267878486,0.7326849677507681,0.7952171826428627,0.7140297000841735,0.7795530335211163,0.7163313437378347,0.9617762340870237,0.7715289827219824,0.7263802676995392,0.7394849776117516,0.8189947177218938,0.8874949967676077,0.7844931055179665,0.8255145725731792,0.8156791442463942,0.7830677116782127,0.7269213777988994,0.7664227886441126,0.7730859599962115,0.8433311661913512,0.815154865026024,0.7648385255881974,0.7572478877415457,0.6779201248710555,0.7930117329308117,0.8288092730447605,0.8552466198827992,0.7891893180183516,0.8738645472220034,0.7173671686760958,0.7437010325586494,0.7438357796016539,0.7370093654234313,0.8297665069083137,0.7915340238163953,0.7877651616563985,0.8514503076417297,0.8515420234389666,0.8035127998729686,0.7333087666922589,0.8252956181593814,0.7786492831335641,0.7325311201916622,0.7430049592659447,0.7643431825705221,0.7557150474860358,0.769788122221432,0.8115282457647611,0.8066287430910056,0.8483280358333257,0.79570987246727,0.6262720826024464,0.6757020940426371,0.7164497738193443,0.7354883811132183,0.6843890727149244,0.7445108177501739,0.732627006662012,0.766725263038353,0.7749859318107929,0.740382913970662,0.7560569814969262,0.67456551976585,0.6429658854151052,0.8242431257257644,0.6661577873208898,0.760252736008209,0.7706219395774088,0.7619191624750605,0.8424770861285311,0.8131566912516417,0.8325594238791898,0.8065566813219387,0.663563473174615,0.6907398624335379,0.6827493283603511,0.7121252573709547,0.6537160048310569
Chicago,0.49722784113325547,0.4474845481328311,0.0,0.49747806596661615,0.5156373936601729,0.46068221947524446,0.48562214894627587,0.4883241868602397,0.44654374126666563,0.4555543054576445,0.47667383056906887,0.47171905259877533,0.5111657135847552,0.5379594055769255,0.4945205974079375,0.5611121792224476,0.5546892652649401,0.8011179785661845,0.6786188627029675,0.7193478776294827,0.6905170300734006,0.6714611876374827,0.6530823342031631,0.76208784501386,0.6480399871494161,0.7208779348813814,0.7597958605587808,0.7759779380849332,0.7881106858348883,0.7378563650429173,0.8378575385054521,0.7192351411025458,0.6394729500810605,0.7402064223878957,0.7420121251825077,0.7264618394434522,0.8142358899166156,0.7795006826221063,0.6996817318558881,0.6492574928665196,0.7990814046335759,0.7946376156170207,0.677840996380768,0.6439841702186628,0.6752775172577583,0.6718384053571227,0.7304404575084074,0.7887772467110006,0.8007205928504538,0.7198647035107444,0.6596050595063869,0.7217003320653739,0.8243589327562659,0.770998778907713,0.7430017836018967,0.739561253609728,0.7323499244949475,0.8100525790692875,0.6691730697767861,0.8224541121954674,0.8001758413509725,0.8186472630671403,0.80045618621914,0.7995380020697884,0.8414382920568115,0.8758755104891859,0.7998496971324103,0.815573728892356,0.7790833862027663,0.7356331252891708,0.7932529091723401,0.8038315886347892,0.8182216859856918,0.8342731913483478,0.8209037290715078,0.6972027140432269,0.7182348952285875,0.6806020783470537,0.7128676336932805,0.7685392414035705,0.7510510563859627,0.8018178448368192,0.8096228481849342,0.8205454859204957,0.7843000199231814,0.6947731553755362,0.8323483144385522,0.7634202854828039,0.7721557167159603,0.7845691255795895,0.7838142231798102,0.729982245274374,0.8200054175384526,0.8298069924731754,0.8204875823801576,0.8114120883581767,0.9380757418307228,0.6676403225021049,0.6643976698677332,0.6857372335962245,0.7248942001470635,0.677600424763126,0.7281012660292796,0.8038788127409592,0.8241243434152954,0.7885057308456765,0.7768928571969862,0.7592230638654662,0.7974121828003111,0.7632923791775351,0.7448083645852817,0.7282680851838425,0.7787750595661352,0.8025628896985164,0.8416695925155333,0.8778535882924482,0.8526864565092607,0.7797038436357004,0.8884134358354117,0.7400391990481854,0.7778439732114969,0.7829319660303297,0.7922231298552751,0.7263764157852333
Houston,0.5997919524781432,0.48552499495371937,0.49747806596661615,0.0,0.47814351208281236,0.5050357700704463,0.5357658728464151,0.5954203316501325,0.5115228671292615,0.40535033156758427,0.2220607303692691,0.4657306619030849,0.5087407641877135,0.6418885804453014,0.6052814517785834,0.6346337914925186,0.6555789318245171,0.6647285715300459,0.6487715361537459,0.5416947730312134,0.7845925232503081,0.7394492152121608,0.7301954584713066,0.8092866439038843,0.7145903567251551,0.7550307421817188,0.7676574748200207,0.6841513319676229,0.7680942826803532,0.6515653466203992,0.7579620986473947,0.7852737172267612,0.7341543100850705,0.7507474133693524,0.9167736842050621,0.7691793250371668,0.8308109811295924,0.8415267564399289,0.8756347750372107,0.7669535608550175,0.8940147687292295,0.8146026654377676,0.8342536533473142,0.789958163164141,0.7923597379092326,0.7932623336324219,0.7672829860330008,0.7770632180809715,0.7515094307232366,0.8140923959137008,0.8778778362752642,0.7905391540520473,1.0558685700181063,0.788118911954654,0.7300336753347754,0.7348469941812381,0.7980439160325644,0.818425940005807,0.7529074920895102,0.804028006609883,0.7554388152020128,0.7641195168063646,0.740397909885544,0.7834441165593022,0.7453804628704965,0.7785810423948355,0.7818503921389083,0.7659249006202343,0.7845849137533027,0.7301677761272589,0.8782019606924099,0.7533440547470761,0.8743056359011736,0.7478957965359675,0.8561244421453602,0.7650134507349353,0.8079922746576861,0.8147638265830905,0.8607915072951389,0.8015505920534098,0.7405719198611889,0.8026788690191822,0.8461989257332626,0.7896074215828057,0.8198085178474135,0.8067948129609476,0.8226500239726688,0.7915709304575651,0.7149387272112009,0.7509991523827719,0.7369083554812994,0.737217760037409,0.7923358117477981,0.8275235395687528,0.7695728983985067,0.8392759769785471,0.9444922325134729,0.7507500562315761,0.7204570347940494,0.7437024606523108,0.7967232704923624,0.742312600002335,0.7553052784751241,0.8049848063875281,0.7775365624879655,0.8090405187365171,0.7715260083808652,0.7592030491059281,0.7415210066570592,0.7525580625851067,0.8197595046868038,0.7620837289385087,0.7703611048138137,0.7251740761027825,0.7605800406666859,0.8278305092456253,0.8190761570267969,0.7983223826612702,0.8708761873962115,0.7524637161221983,0.6985501189034553,0.7401204303623333,0.7353547137604793,0.7593259137218643
Phoenix,0.7304711917800406,0.48055196040594816,0.5156373936601729,0.47814351208281236,0.0,0.5809850578370324,0.5994877515992603,0.5949276982540125,0.5351479261279568,0.5149589511499155,0.4451822415994191,0.4406878457889817,0.5803625150375641,0.7319337444443161,0.5801579444662911,0.6445822855155166,0.5723498037601045,0.7056311730258887,0.6213005286824855,0.6020755167477356,0.8630324063869909,0.8037065193738444,0.8266546832423317,0.8934287850493523,0.788518575943751,0.8260957643353856,0.8144286800514353,0.780667086867992,0.8271374692365571,0.7865651042871631,0.8176354150751381,0.9042585135550314,0.7958394069641477,0.8877411865890886,0.9193047433960584,0.7968616671699642,0.8430604799275582,0.8628654233251501,0.8526729334527484,0.894663703333521,0.934696851037943,0.9075970851878896,0.8372612899026333,0.8245404623440674,0.7945108752349994,0.8637027565320875,0.8327317049067806,0.8513078749098474,0.8834668504771422,0.825984904690355,0.8651106782464142,0.7697376969204553,0.9306559023779437,0.8403580940317041,0.7529467654202783,0.788280749828095,0.8071081672173231,0.9114873271466157,0.8710880870555,0.8477918135516491,0.8183092072528698,0.8859497821142027,0.8936748016975427,0.817546205414889,0.8409044056624037,0.9060870191970306,0.8665350422035644,0.8640645983812443,0.8409367284899739,0.7852744778435763,0.8945910914021028,0.9760163056244074,0.9838076467236835,0.9150037300737577,0.8677609075819166,0.7356685198929274,0.7915065713420277,0.8018925890519639,0.8632114251701325,0.8743027321177608,0.8908871300287169,0.8830448100034138,0.897238685577706,0.9449282887890863,0.8723912508093974,0.8133228903365968,0.8141671822229947,0.8034892707368754,0.7602207565051764,0.7343609813174083,0.7766747959832694,0.8155451987863094,0.846715372688998,0.8647522755607433,0.8591194197184411,0.8917037929217089,0.8014169020176777,0.7860177378319761,0.8058992550234361,0.7914960113756497,0.8029116506015642,0.7597068744836374,0.8034354302894791,0.7923615891099178,0.7972236652803393,0.8343877445091455,0.8056066500420807,0.8338982297264667,0.8011173623145978,0.8371477127608632,0.8943156560047705,0.7885645548841315,0.8441219298839178,0.858377129832327,0.8008111244862064,0.9373073137426368,0.876124655853871,0.8396759899994359,0.8731381664433743,0.7173694187466844,0.6783291370251974,0.7044363742827258,0.6757910043615291,0.7103369463319469
Philadelphia,0.45806475608280806,0.5191162494128854,0.46068221947524446,0.5050357700704463,0.5809850578370324,0.0,0.46931632304899673,0.41304636023906316,0.5260332575984628,0.3969880457541418,0.4510482270808158,0.4325069673137959,0.523168695773303,0.547649311735934,0.544153200772767,0.5413607884061697,0.6676940746181457,0.8381323629487909,0.7153489743275867,0.7033879718169416,0.8068049535936883,0.727858294802249,0.7405355548558182,0.8481098990537516,0.778280726498227,0.7585824759887799,0.7194301182337042,0.826538239367508,0.8275665552433719,0.7384602610276134,0.7952093883329864,0.9024043820656474,0.7132779461810039,0.8203278021403224,0.746435389871154,0.8225325965879053,0.8240119585979424,0.7716073431023799,0.8400614935079436,0.7203954611833476,0.8461869470134606,0.7653131022833793,0.770820061606411,0.8269158807347716,0.8194172963565756,0.7554438764350206,0.7337130728387967,0.7613666528863899,0.7904285081193273,0.716896497696784,0.8518688472342985,0.7112678116966304,0.9384035854385422,0.8297510722734511,0.8119862021339683,0.7828793445046534,0.8114425035576278,0.8610864378194576,0.7842286533924291,0.9046251299797783,0.7669131170362857,0.806731393093855,0.845732800475012,0.8450390773012283,0.8132581703539111,0.8595825531120244,0.7978656227464779,0.7590496499605641,0.721913957866605,0.6623506234786234,0.9288274151509741,0.8285651266972281,0.8211170233756538,0.8238033721076806,0.8392800806794224,0.7019403849682713,0.7494126237026135,0.8006364676766579,0.8114694774002664,0.8185563268003623,0.7839319605454163,0.8337044698399794,0.932441128934921,0.8324393381988086,0.8393844362587755,0.7588687815521156,0.825805412657534,0.776674950228398,0.8140032986580993,0.796495808920106,0.8098965316615413,0.8450227123586428,0.8625765865469932,0.9172336576477709,0.860923450420886,0.8636910393021219,0.9166945412855034,0.7776972564444952,0.7351224594520334,0.7344109584067029,0.7981976964895293,0.7520699799577804,0.7686748946523743,0.7946249446431195,0.8143884986813967,0.8327264350203903,0.7957842604471629,0.7808824350528174,0.7780444408235424,0.7246311569626567,0.8397867548167803,0.7876991286550794,0.8601675919123375,0.8405938005810517,0.7996280437396367,0.8467395350855922,0.8529235809308615,0.8405137552418627,0.8694852999733524,0.7177968710863849,0.7402992955970334,0.7959834148199882,0.8127835260302929,0.8018409741457706
San Francisco,0.5177369962231304,0.31144527829447843,0.48562214894627587,0.5357658728464151,0.5994877515992603,0.46931632304899673,0.0,0.47538682744920235,0.36079574877641374,0.5246551402817552,0.5196482916846465,0.5013536261838684,0.6056919123543548,0.5190274073971659,0.6024625815471192,0.616346595461778,0.5182121037287757,0.7417528267378841,0.622274386713953,0.6704537274625262,0.7416458343023613,0.7124348638382882,0.725682909205378,0.8025898536189098,0.6570651608725374,0.7525632554696895,0.7164024841816536,0.7347231505462292,0.7124817624866409,0.6657165147519346,0.6908949292270488,0.8193201094156954,0.6451057323608471,0.7076791129113565,0.7840687035077272,0.6570244418277673,0.673465888464371,0.7590036936203164,0.8323032240011143,0.6880649954583726,0.799618860695119,0.7630183836284207,0.7024002444590303,0.740005244479635,0.8258612379575476,0.9114660816496086,0.747828890935688,0.7832006146854606,0.8263590687226539,0.6633112946303927,0.7796066689895302,0.6192074274664787,0.9025235647776922,0.8508032002271306,0.8238118743423906,0.7826012796044722,0.7471873426674605,0.8457220329578001,0.7606605303679241,0.8394213742406285,0.8321452480420304,0.7819607942331208,0.7735840459216825,0.8082151785795137,0.8066837831727224,0.8335113953904635,0.7690550769181999,0.720286822636732,0.8132121738719069,0.6574382351338355,0.8217464165585673,0.8109930241592844,0.8378860208853213,0.7718418357097395,0.8684264473943232,0.7035369890528593,0.6602067346862264,0.7237453930596294,0.7487038536948651,0.7719860858778294,0.8426608030244156,0.8858638824392241,0.8680622614979245,0.7937944983270121,0.8161022241261712,0.7464606839569715,0.7995621748221906,0.7428246957317488,0.7303237031763314,0.6736000395128726,0.7372357085050156,0.8052168574361096,0.8302073972605788,0.8592177562618457,0.8329089779046291,0.8336643919684386,0.7741106605323705,0.6082533054328237,0.6565860649303529,0.7188707536533675,0.7067909733023181,0.6571909555183919,0.7221840982700443,0.7077199642997893,0.7436530379848463,0.7661857237009781,0.7483894915560358,0.7667774318610289,0.6693968103626953,0.6092237542252787,0.8167143643958352,0.6461766001305815,0.7661828496562495,0.7232502313685956,0.7528244901723112,0.7644202933414777,0.7298587523660817,0.837501389468294,0.7695043911672206,0.6495388067887164,0.6993130177121245,0.6584674981120253,0.7766898131402858,0.6612757552624962
Boston,0.48400765786679134,0.5572107673480327,0.4883241868602397,0.5954203316501325,0.5949276982540125,0.41304636023906316,0.47538682744920235,0.0,0.4660039290052014,0.489779620320547,0.5751371073030584,0.4881567479755128,0.5148264023287485,0.5994633575208959,0.4881971245041433,0.5065649806211339,0.6526643453130987,0.8303705588325834,0.73174596026651,0.7319419284015392,0.7715687082641561,0.6766126854675152,0.6917987268155481,0.7644783475149647,0.6574002324704924,0.7544396434042736,0.7058311714232035,0.8223387580814742,0.768240590397016,0.6697575997050975,0.7098790713771242,0.8027147880241611,0.6339661708394078,0.7754804518198034,0.7848722035753765,0.7846627724249889,0.7705328413723889,0.7834493770866533,0.836423177817137,0.6834461097239173,0.8207568522985869,0.8177039593162392,0.7575150744648741,0.771879189015038,0.7504963902499284,0.7713200708599224,0.8324578224429594,0.8552198976106438,0.8259355042458056,0.6830820293566124,0.7624892454207668,0.6856675917050078,0.7955509463756478,0.9151947532242659,0.82151532307727,0.8339433142873319,0.8108477455785004,0.8818931458132921,0.8532050733127838,0.7991719457588026,0.7850049010072286,0.7829004037058623,0.8275920123087344,0.8035764519184928,0.7971783393019585,0.8365863506378617,0.8323756597997849,0.7548126792698628,0.7778439932263219,0.6816974284487938,0.9374478912921483,0.8962911053901389,0.8986765553012331,0.8343217212719634,0.8260183329042629,0.8299701708852133,0.7948253200007398,0.7827494267162203,0.842069836283474,0.7999421634432035,0.905953082703152,0.8367784866225181,0.8883275471677607,0.8610945533000922,0.8346840680550793,0.727329443237031,0.7746821727641109,0.7463108485094216,0.7821993882619919,0.7086654960664773,0.7724329783999925,0.7681244257617621,0.7634296229359221,0.7880476172395731,0.7140069132228914,0.7698816242752902,0.8620268951075243,0.7160171503600974,0.7924206608405998,0.7699902010283463,0.7326878722243848,0.7273818291823795,0.7532177648775791,0.8177728710215297,0.7702489678372724,0.7405812613672155,0.8119594384342076,0.7967251891377323,0.7522195863550719,0.706594987236298,0.7662146372659056,0.7874010105299558,0.7809764185670085,0.7772995038095739,0.7785834416913144,0.81519381444108,0.769931607548043,0.8207112883676781,0.8530814889559307,0.7183868436025534,0.7503408179783331,0.7996639854890135,0.7987777954453164,0.7315419366405974
Seattle,0.5981535382407801,0.42645892970881716,0.44654374126666563,0.5115228671292615,0.5351479261279568,0.5260332575984628,0.36079574877641374,0.4660039290052014,0.0,0.4698825423219205,0.47072936978732716,0.38885588061967147,0.5861439367121863,0.553611028674709,0.5618126084316147,0.6020272857033389,0.4219722571382627,0.8020604295922342,0.6587250752976984,0.7113987404118431,0.8140938765745456,0.7615064365911473,0.7607831028401032,0.7805569257534217,0.7369898816484406,0.8204321231226356,0.7807556174733914,0.8270706707059321,0.8141539931476617,0.730682976913492,0.7546883367169817,0.7230351880728113,0.7489273373627552,0.7928952221287677,0.8211430190949196,0.7359472712326753,0.7175224774187177,0.8905074085456061,0.8632171332611734,0.6930041190141891,0.7765470870572123,0.8289417486543792,0.7460643791929373,0.8111515101317033,0.8021959048540017,0.8451285700057494,0.8163077412230617,0.8444004296328147,0.8369864402553121,0.6478364901781093,0.6349951363379174,0.7924395370007092,0.8616533967380164,0.8427847658166197,0.7380821759927332,0.7437366102285331,0.7337813629581525,0.7944842331293782,0.8362993645332449,0.7858492166311973,0.8167299158149078,0.7936180478041382,0.7958439457880658,0.8939644434375184,0.8716890874190606,0.8046319314529617,0.7921472177863446,0.7958887086207085,0.8051572562202953,0.7119283387150467,0.8962432267380969,0.8987422963175028,0.9450520491224457,0.9254762556273599,0.9148936782680003,0.858261168541004,0.8450191352276253,0.8097659990235582,0.8193347082751394,0.8639348295125464,0.889682928375793,0.887043935481181,0.8959676309513671,0.9177076467887765,0.8977681337525898,0.7703813530122582,0.7785132806073247,0.7246857445718364,0.7677643753698108,0.7352508811210641,0.7734793866843277,0.8078990558013505,0.8393894964355914,0.78863763906911,0.7310504438868607,0.8312419093450404,0.7671355942252533,0.627784723769216,0.6505365184374825,0.6692603244458613,0.7574730599841389,0.7758363665601044,0.800959889560511,0.8238352667216713,0.8038734919970756,0.8282104879477492,0.7910788443841009,0.7656807327247772,0.7819730627163175,0.6882455728970152,0.6969013134090299,0.7009107304622156,0.7107526873983554,0.7748729466334643,0.7514765259578439,0.8304449796867439,0.7703775042519372,0.8003156488556666,0.7805258948151985,0.6892878410955875,0.6954497262380375,0.6793669503454388,0.7228272181219515,0.6176589195868818
Atlanta,0.5856472237069826,0.51635118035983,0.4555543054576445,0.40535033156758427,0.5149589511499155,0.3969880457541418,0.5246551402817552,0.489779620320547,0.4698825423219205,0.0,0.39006031394139384,0.4454426394434772,0.5027385002007556,0.5444431132881995,0.5508643730658109,0.5339753827487471,0.5748100353863472,0.8429244057173668,0.7174065489499057,0.715996122515421,0.7473961824198918,0.7185470343600411,0.7326634720131474,0.7834047855066056,0.7517388164874317,0.8602533779042051,0.701120291876804,0.8002427125257443,0.8389466051341725,0.6969300637663969,0.7853178802004527,0.9082164705349168,0.6836062892435919,0.7064423149084214,0.7432534920693975,0.7263205648238327,0.698017458604683,0.6421162118195061,0.7840237915502087,0.7051476206277989,0.7299887412342435,0.7416795557683394,0.7079701369546704,0.7649601629455218,0.7407629099529316,0.7257728243819879,0.7026074949667909,0.6917251869057011,0.5631946585116421,0.6597981554609388,0.8164319345871507,0.7425027080047684,0.9447334982323548,0.7547806415558707,0.6423204025629805,0.6547505527030523,0.6948005950928695,0.7322536663781862,0.6991595860328452,0.8742275657823423,0.7659218378698325,0.7620374548335952,0.7728944516014333,0.79125213231965,0.8324782078965998,0.8013805621427371,0.7508482008289489,0.7493505316066803,0.7978699921984729,0.7362920417830532,0.8466378761085203,0.7184066044856641,0.8457993633985788,0.7954352245249479,0.7832125117427806,0.6307969045685429,0.6841574481230989,0.7440658262432941,0.6983736396074749,0.7800175564432548,0.7026658756106526,0.7756274211670096,0.8021481442464304,0.793809845173604,0.7709207074643668,0.7984008435805714,0.7711574075120231,0.7598511667457811,0.7290434595262818,0.7477515242872008,0.7405809550948417,0.7869315438378761,0.8085302416699234,0.8224646150610319,0.7593187726770931,0.7710496527927965,0.8458907721032914,0.7067284736456944,0.7050680441090798,0.6938113155305978,0.6799088109567841,0.7040819337504387,0.6863573664599616,0.7781079494040405,0.7540978024542693,0.857661243701052,0.7825833023339918,0.7531185933205629,0.7700033852741807,0.751764628007501,0.7854055901336732,0.7997032493104885,0.7479191536237937,0.8030747601570719,0.7436090276464901,0.8216218719972547,0.7611613051218655,0.8214733141650894,0.8228780353920486,0.6907607502625472,0.6702518349376136,0.7522906715471134,0.7878955649709958,0.747111971727094
