city,region,token,x,y
New York,North America,New_York,-0.4096728094283188,-0.2866918425420756
Los Angeles,North America,Los_Angeles,-0.2957521449918214,-0.4547260688456512
Chicago,North America,Chicago,-0.45475846373447804,-0.30257616340290705
Houston,North America,Houston,-0.3714008529636409,-0.473313280015896
Phoenix,North America,Phoenix,-0.33424115510760893,-0.6007577644170948
Philadelphia,North America,Philadelphia,-0.5016374651639512,-0.3868587126997825
San Francisco,North America,San_Francisco,-0.2983949269024807,-0.4135943617380918
Boston,North America,Boston,-0.43462026350972405,-0.40813700251423063
Seattle,North America,Seattle,-0.29507349534650046,-0.5242255920634461
Atlanta,North America,Atlanta,-0.3418817999563527,-0.34879019420588536
Dallas,North America,Dallas,-0.3859187470719709,-0.45185477678410263
Denver,North America,Denver,-0.45377816564725637,-0.3789324166363706
Miami,North America,Miami,-0.5360373453367674,-0.2283632318942812
Washington DC,North America,Washington_DC,-0.5183904435931529,-0.18150387068135115
Toronto,North America,Toronto,-0.2256174638374634,-0.4529998772451943
Montreal,North America,Montreal,-0.38856505047635687,-0.21767278978799942
Vancouver,North America,Vancouver,-0.17481695643694714,-0.5740097051035048
Mexico City,North America,"mean(Mexico,City)",-0.662542662282788,-0.0631594317294019
Guadalajara,North America,Guadalajara,-0.5102698720750227,-0.04538581101654013
Monterrey,North America,Monterrey,-0.4977712493577965,-0.057137987467421124
Havana,North America,Havana,-0.31771681665826085,0.18520750715786782
Sao Paulo,South America,Sao_Paulo,-0.3098576230387937,0.020210518874141315
Rio de Janeiro,South America,Rio_de_Janeiro,-0.4069995018311849,0.06280947064150386
Brasilia,South America,Brasilia,-0.3202705707345226,0.25439464147620855
Buenos Aires,South America,Buenos_Aires,-0.2697436629278182,0.06705341176549409
Lima,South America,Lima,-0.5836060710898417,0.16810126303417125
Bogota,South America,Bogota,-0.36306885388512716,0.1002871469697672
Medellin,South America,Medellin,-0.6114936400542548,0.0694533030755109
Santiago,South America,Santiago,-0.5896736216334101,0.10911257858810368
Caracas,South America,Caracas,-0.23393208197503249,0.09447597035874604
Quito,South America,Quito,-0.393644198807727,0.13418387951190147
Montevideo,South America,Montevideo,-0.48155296166752865,0.23497347715741998
London,Europe,London,-0.1448372620864043,-0.1288777637134028
Paris,Europe,Paris,-0.18133181717910546,0.29474892261438085
Berlin,Europe,Berlin,-0.21995190864420286,0.4809035338662296
Madrid,Europe,Madrid,-0.35496594959676536,0.23423644243469766
Barcelona,Europe,Barcelona,-0.41670747655913587,0.25978458005429006
Rome,Europe,Rome,-0.30319827182295167,0.46384133183141735
Milan,Europe,Milan,-0.3763152025455742,0.43124009809017144
Amsterdam,Europe,Amsterdam,-0.21807789887473994,-0.011683714114663587
Brussels,Europe,Brussels,-0.03915854280204065,0.48670227889031475
Vienna,Europe,Vienna,-0.14896550371747722,0.41902509790293274
Munich,Europe,Munich,-0.26569807528458683,0.3483570497337529
Zurich,Europe,Zurich,-0.4252840008061012,0.36995381767803687
Prague,Europe,Prague,-0.18220629071627764,0.37241165750506494
Warsaw,Europe,Warsaw,-0.2604078003877044,0.4851842649838136
Budapest,Europe,Budapest,-0.11631633351236594,0.24911012898920085
Bucharest,Europe,Bucharest,-0.05006634954527041,0.27059338656850423
Athens,Europe,Athens,-0.15146925498068778,0.5627746590295737
Stockholm,Europe,Stockholm,-0.09346240785357475,0.026096858557292355
Copenhagen,Europe,Copenhagen,-0.07993203358215875,0.4904623216504859
Dublin,Europe,Dublin,-0.42251087335211385,-0.10037359592825709
Lisbon,Europe,Lisbon,-0.3300828987488512,0.5702660463872014
Kyiv,Europe,Kyiv,0.008328845872389025,0.4073865263689769
Moscow,Europe,Moscow,-0.04994753049326635,0.31063543835679147
St Petersburg,Europe,Saint_Petersburg,-0.02638910392427431,0.21300083936139197
Istanbul,Middle East & North Africa,Istanbul,0.07189503495365046,0.22715339639009394
Ankara,Middle East & North Africa,Ankara,0.13559917040758027,0.4892817201946289
Cairo,Middle East & North Africa,Cairo,0.14877843879858302,0.34909386289058086
Tehran,Middle East & North Africa,Tehran,0.2577361438967031,0.44332230862432925
Baghdad,Middle East & North Africa,Baghdad,0.32178183350956485,0.4136440288860483
Riyadh,Middle East & North Africa,Riyadh,0.2814401631546082,0.1461577581386384
Jeddah,Middle East & North Africa,Jeddah,0.3944618685254124,0.09298999658678556
Dubai,Middle East & North Africa,Dubai,0.5152168798081127,0.07116240632785863
Abu Dhabi,Middle East & North Africa,Abu_Dhabi,0.4453482748455495,0.07784824210084339
Doha,Middle East & North Africa,Doha,0.4142168909404089,0.2264652388888023
Amman,Middle East & North Africa,Amman,0.21404608181397172,0.22160744165791582
Beirut,Middle East & North Africa,Beirut,0.18898542513229918,0.34756678112144695
Jerusalem,Middle East & North Africa,Jerusalem,0.0901135429914064,0.5758338290565472
Tel Aviv,Middle East & North Africa,Tel_Aviv,-0.07921723756554913,0.13569226868442869
Casablanca,Middle East & North Africa,Casablanca,0.029645085468596788,0.6113037361727826
Algiers,Middle East & North Africa,Algiers,0.2652306059567407,0.5053559383681346
Tunis,Middle East & North Africa,Tunis,0.19130107705967878,0.45903922049474977
Lagos,Sub-Saharan Africa,Lagos,0.5804352026886337,0.19040109306031874
Kinshasa,Sub-Saharan Africa,Kinshasa,0.3654033281888836,0.3739581705577789
Johannesburg,Sub-Saharan Africa,Johannesburg,0.03972933357528437,-0.01859475575850231
Cape Town,Sub-Saharan Africa,Cape_Town,0.0534321055267736,0.03490764277672925
Nairobi,Sub-Saharan Africa,Nairobi,0.361444240146397,0.16069464462345165
Addis Ababa,Sub-Saharan Africa,Addis_Ababa,0.2863276725487061,0.2680457191506686
Dar es Salaam,Sub-Saharan Africa,Dar_es_Salaam,0.45096455200844043,0.18557516924995063
Accra,Sub-Saharan Africa,Accra,0.4733546297227763,0.2508910543135857
Abidjan,Sub-Saharan Africa,Abidjan,0.40034279067087214,0.3713300983116719
Dakar,Sub-Saharan Africa,Dakar,0.2330630107976508,0.5769241578869838
Luanda,Sub-Saharan Africa,Luanda,0.28113286457947967,0.3542107931280977
Khartoum,Sub-Saharan Africa,Khartoum,0.44899711482204585,0.3255967055701341
Mumbai,South Asia,Mumbai,0.39694766669889814,-0.21669121118476642
Delhi,South Asia,Delhi,0.44969075510018697,-0.19559199929135807
Kolkata,South Asia,Kolkata,0.3866299831771954,-0.2017655490157858
Chennai,South Asia,Chennai,0.42015767169206975,-0.28851780871101723
Bangalore,South Asia,Bangalore,0.396143035761956,-0.299532868052674
Hyderabad,South Asia,Hyderabad,0.4581577746847142,-0.27550017779049996
Karachi,South Asia,Karachi,0.5156951860517418,-0.08861425901639577
Lahore,South Asia,Lahore,0.5309710614724318,-0.11758812958533812
Islamabad,South Asia,Islamabad,0.5445541593957436,0.016725788457134187
Dhaka,South Asia,Dhaka,0.4430446903947038,-0.07233273102253755
Colombo,South Asia,Colombo,0.4033001348725327,-0.020778480983853143
Kathmandu,South Asia,Kathmandu,0.47678477854638884,-0.1393842262095961
Tokyo,East Asia,Tokyo,-0.046732430257844126,-0.21223078163336223
Osaka,East Asia,Osaka,-0.0034587746736990076,-0.36885516166140603
Seoul,East Asia,Seoul,0.02992019412047366,-0.14014076770621992
Beijing,East Asia,Beijing,0.12821307927863368,-0.2380128695363399
Shanghai,East Asia,Shanghai,0.1096575669981073,-0.27577436256051524
Guangzhou,East Asia,Guangzhou,0.22899571554024217,-0.34133470474488464
Shenzhen,East Asia,Shenzhen,0.292145459262181,-0.42296098173523555
Chengdu,East Asia,Chengdu,0.27131299997363695,-0.3580178714549715
Wuhan,East Asia,Wuhan,0.29166997995110033,-0.4740169350017745
Chongqing,East Asia,Chongqing,0.28219251321341304,-0.4467774323998709
Tianjin,East Asia,Tianjin,0.23017154475497317,-0.4108825766631761
Hong Kong,East Asia,Hong_Kong,0.14107613562880622,-0.4487375187345822
Taipei,East Asia,Taipei,0.11024480289888293,-0.3213588439508218
Jakarta,Southeast Asia,Jakarta,0.23967030287901162,-0.013006107828306804
Manila,Southeast Asia,Manila,0.033068139458403895,-0.2297926789847612
