,New York,Los Angeles,Chicago,Houston,Phoenix,Philadelphia,San Francisco,Boston,Seattle,Atlanta,Dallas,Denver,Miami,Washington DC,Toronto,Montreal,Vancouver,Mexico City,Guadalajara,Monterrey,Havana,Sao Paulo,Rio de Janeiro,Brasilia,Buenos Aires,Lima,Bogota,Medellin,Santiago,Caracas,Quito,Montevideo,London,Paris,Berlin,Madrid,Barcelona,Rome,Milan,Amsterdam,Brussels,Vienna,Munich,Zurich,Prague,Warsaw,Budapest,Bucharest,Athens,Stockholm,Copenhagen,Dublin,Lisbon,Kyiv,Moscow,St Petersburg,Istanbul,Ankara,Cairo,Tehran,Baghdad,Riyadh,Jeddah,Dubai,Abu Dhabi,Doha,Amman,Beirut,Jerusalem,Tel Aviv,Casablanca,Algiers,Tunis,Lagos,Kinshasa,Johannesburg,Cape Town,Nairobi,Addis Ababa,Dar es Salaam,Accra,Abidjan,Dakar,Luanda,Khartoum,Mumbai,Delhi,Kolkata,Chennai,Bangalore,Hyderabad,Karachi,Lahore,Islamabad,Dhaka,Colombo,Kathmandu,Tokyo,Osaka,Seoul,Beijing,Shanghai,Guangzhou,Shenzhen,Chengdu,Wuhan,Chongqing,Tianjin,Hong Kong,Taipei,Jakarta,Manila,Bangkok,Singapore,Kuala Lumpur,Ho Chi Minh City,Hanoi,Yangon,Phnom Penh,Sydney,Melbourne,Brisbane,Perth,Auckland
New York,0.9999999999999999,0.5557929620074376,0.5027721588667445,0.40020804752185674,0.26952880821995934,0.5419352439171919,0.48226300377686965,0.5159923421332087,0.40184646175921984,0.41435277629301737,0.3770717756787621,0.44386817090169683,0.3986386882211446,0.48078135311804365,0.4209663123058603,0.39522059490241734,0.25267121598277553,0.37836342339492074,0.26510123619487647,0.23981098525372824,0.27618018989457405,0.3421514935507505,0.28790429063575296,0.20008442417920624,0.3415594017491177,0.19903708636389653,0.31020535424183954,0.20297698312027454,0.25425468356158937,0.33833230398646913,0.1923291931193529,0.17195313313405994,0.4812481343628528,0.35475873071332514,0.3077238856628819,0.27271518452840876,0.17318488668895624,0.33985637542255065,0.2969777280668941,0.3618292069663961,0.21290012724102733,0.3401482067831961,0.22510817112627862,0.25896753612350654,0.31939430930194984,0.24175092586834632,0.3196289399586351,0.27758929839183744,0.1976508533211225,0.3353801956826501,0.18951721260869003,0.25931494246447234,0.1468999852913207,0.2392552585014859,0.3301653194316587,0.293594350340266,0.29050245685318765,0.12388869598529745,0.2831259981074571,0.1956363971949241,0.20913071181106876,0.2393673971422415,0.22469283923503738,0.2947678776779354,0.2928920773895357,0.16527378038684717,0.23220571636281553,0.25198069610595736,0.27364786948893205,0.3654676253859414,0.13763792638902456,0.14854654476497295,0.19169499852842525,0.21041859517147413,0.11451203665359456,0.25578826805724864,0.2089683647172893,0.2294196492991065,0.21399403923630084,0.1491679934032121,0.18777710773151154,0.1621964472997801,0.059732199374929074,0.10998230143359092,0.09796676403223491,0.3162348803936116,0.22911144920192428,0.21368644752402827,0.20160814908509966,0.2212140555422112,0.23587243787257958,0.2814717350058163,0.23513863614956176,0.24710779042850517,0.2361374952512863,0.23923123924413403,0.17466718891377706,0.35860051168678625,0.2616429563447286,0.2967293611587776,0.24229826168650642,0.3227537237166882,0.21924792943717267,0.2042207523959931,0.18727047149684797,0.20769554040692567,0.1857536583402396,0.23135773911245788,0.35680889697359836,0.3335166912666783,0.2552638225948718,0.27055574438628943,0.27496654013197624,0.2938154756239028,0.26425802053848974,0.1955234756571857,0.20089166260471425,0.17049035114566705,0.19329712631644663,0.3214474742928344,0.2641115437521383,0.19868121868940636,0.19678955357146316,0.196638928998136
Los Angeles,0.5557929620074376,1.0,0.5525154518671689,0.5144750050462806,0.5194480395940518,0.48088375058711463,0.6885547217055216,0.44278923265196735,0.5735410702911828,0.48364881964017,0.5176733105190013,0.5284200534993055,0.4708287070415505,0.4328622665954822,0.42558911078127865,0.37945390321030775,0.4694137254673638,0.2918330766832057,0.4145255765796347,0.3647473969570926,0.22613374799283448,0.23044521986127325,0.21040355661886345,0.12784143079504903,0.28181735907251504,0.21081246701474596,0.25269019647997637,0.22821810411079366,0.2911458689333116,0.3501216186302763,0.21343106916126178,0.1460622186546296,0.3970087771422859,0.35379278768242906,0.21189028989593534,0.3204093505112195,0.25058974024153113,0.28469761146980255,0.20869042878806757,0.24850774201076217,0.18031500968882677,0.20102074285114727,0.25820783933100344,0.2426891971717387,0.1761239697367562,0.10606171653533322,0.2658633732121514,0.267315032249232,0.20478281735713738,0.28597029991582645,0.22044696647888373,0.28366865626216536,0.03822376591297624,0.2284710172780176,0.27361973230046077,0.2605150223882484,0.1810052822781062,0.11250500323239232,0.2155068944820335,0.17448542742682085,0.18432085575360577,0.21693228832178738,0.27307862220110063,0.23357721135588738,0.22691404000378843,0.1566688338086488,0.184845134973976,0.23516147441180255,0.2427521122584543,0.32207987512894454,0.2069882670691883,0.1711907269552395,0.14475338011720082,0.21081068198164837,0.12613545277799662,0.2826328313239042,0.2562989674413506,0.256164220398346,0.26299063457656874,0.17023349309168637,0.2084659761836048,0.2122348383436014,0.14854969235827037,0.1484579765610335,0.1964872001270314,0.2666912333077411,0.17470438184061868,0.22135071686643598,0.2674688798083378,0.25699504073405527,0.23565681742947786,0.24428495251396418,0.230211877778568,0.18847175423523888,0.1933712569089944,0.1516719641666743,0.20429012753273,0.3737279173975536,0.32429790595736285,0.2835502261806557,0.26451161888678165,0.3156109272850756,0.2554891822498261,0.2673729933379881,0.23327473696164697,0.22501406818920713,0.259617086029338,0.24394301850307373,0.32543448023415,0.35703411458489476,0.17575687427423559,0.3338422126791102,0.23974726399179105,0.22937806042259118,0.23808083752493947,0.15752291387146888,0.18684330874835828,0.1674405761208102,0.19344331867806128,0.33643652682538505,0.30926013756646215,0.31725067163964893,0.2878747426290453,0.3462839951689432
Chicago,0.5027721588667445,0.5525154518671689,0.9999999999999997,0.5025219340333839,0.4843626063398271,0.5393177805247555,0.5143778510537241,0.5116758131397603,0.5534562587333344,0.5444456945423555,0.5233261694309311,0.5282809474012247,0.4888342864152448,0.46204059442307455,0.5054794025920625,0.43888782077755245,0.4453107347350599,0.1988820214338155,0.3213811372970325,0.2806521223705173,0.3094829699265994,0.32853881236251725,0.34691766579683686,0.23791215498614007,0.35196001285058387,0.27912206511861865,0.2402041394412192,0.22402206191506677,0.21188931416511167,0.26214363495708276,0.16214246149454795,0.2807648588974542,0.36052704991893947,0.25979357761210425,0.2579878748174923,0.2735381605565478,0.1857641100833845,0.2204993173778937,0.30031826814411183,0.3507425071334804,0.20091859536642404,0.20536238438297924,0.322159003619232,0.3560158297813372,0.32472248274224164,0.3281615946428773,0.2695595424915927,0.2112227532889994,0.19927940714954617,0.2801352964892556,0.340394940493613,0.2782996679346262,0.1756410672437341,0.22900122109228707,0.2569982163981033,0.260438746390272,0.2676500755050525,0.18994742093071249,0.3308269302232138,0.1775458878045326,0.19982415864902753,0.18135273693285972,0.19954381378085997,0.20046199793021155,0.1585617079431884,0.12412448951081408,0.20015030286758975,0.18442627110764395,0.22091661379723368,0.26436687471082926,0.2067470908276598,0.19616841136521077,0.18177831401430822,0.1657268086516522,0.1790962709284922,0.30279728595677313,0.28176510477141253,0.31939792165294634,0.28713236630671946,0.23146075859642948,0.24894894361403735,0.19818215516318077,0.1903771518150658,0.17945451407950425,0.21569998007681856,0.3052268446244638,0.16765168556144788,0.23657971451719603,0.22784428328403972,0.21543087442041053,0.21618577682018986,0.27001775472562595,0.17999458246154743,0.17019300752682462,0.17951241761984243,0.1885879116418233,0.06192425816927717,0.3323596774978951,0.33560233013226676,0.3142627664037755,0.27510579985293654,0.322399575236874,0.2718987339707204,0.19612118725904082,0.17587565658470464,0.21149426915432348,0.22310714280301386,0.24077693613453377,0.20258781719968882,0.23670762082246488,0.25519163541471834,0.27173191481615755,0.22122494043386473,0.19743711030148356,0.15833040748446667,0.12214641170755179,0.14731354349073938,0.22029615636429958,0.11158656416458829,0.2599608009518147,0.22215602678850313,0.21706803396967037,0.2077768701447249,0.27362358421476674
Houston,0.40020804752185674,0.5144750050462806,0.5025219340333839,0.9999999999999994,0.5218564879171876,0.4949642299295537,0.4642341271535849,0.4045796683498675,0.48847713287073846,0.5946496684324157,0.7779392696307309,0.5342693380969151,0.49125923581228653,0.35811141955469855,0.39471854822141667,0.36536620850748136,0.34442106817548296,0.335271428469954,0.35122846384625406,0.45830522696878667,0.21540747674969188,0.26055078478783916,0.2698045415286934,0.1907133560961157,0.28540964327484486,0.24496925781828116,0.23234252517997928,0.31584866803237716,0.23190571731964685,0.34843465337960083,0.24203790135260525,0.21472628277323885,0.26584568991492946,0.24925258663064767,0.08322631579493793,0.2308206749628332,0.1691890188704076,0.15847324356007106,0.12436522496278932,0.2330464391449824,0.10598523127077052,0.18539733456223242,0.1657463466526858,0.210041836835859,0.20764026209076739,0.2067376663675781,0.23271701396699912,0.22293678191902852,0.2484905692767634,0.18590760408629928,0.12212216372473586,0.20946084594795264,-0.0558685700181063,0.21188108804534603,0.26996632466522463,0.26515300581876194,0.20195608396743558,0.181574059994193,0.24709250791048978,0.1959719933901169,0.2445611847979872,0.2358804831936354,0.25960209011445595,0.2165558834406977,0.2546195371295035,0.22141895760516453,0.2181496078610917,0.23407509937976564,0.21541508624669728,0.26983222387274114,0.12179803930759014,0.24665594525292386,0.12569436409882642,0.2521042034640325,0.14387555785463982,0.23498654926506468,0.19200772534231395,0.18523617341690943,0.1392084927048611,0.19844940794659016,0.25942808013881113,0.19732113098081783,0.1538010742667374,0.2103925784171943,0.18019148215258649,0.19320518703905246,0.17734997602733116,0.20842906954243484,0.28506127278879906,0.24900084761722813,0.26309164451870054,0.2627822399625909,0.20766418825220187,0.17247646043124717,0.2304271016014933,0.16072402302145297,0.05550776748652711,0.24924994376842385,0.27954296520595057,0.2562975393476892,0.20327672950763767,0.257687399997665,0.2446947215248759,0.19501519361247188,0.22246343751203448,0.19095948126348292,0.22847399161913481,0.2407969508940719,0.2584789933429408,0.24744193741489334,0.18024049531319622,0.2379162710614912,0.2296388951861863,0.27482592389721744,0.23941995933331406,0.17216949075437474,0.18092384297320305,0.20167761733872983,0.1291238126037885,0.24753628387780172,0.3014498810965447,0.2598795696376667,0.26464528623952066,0.2406740862781357
Phoenix,0.26952880821995934,0.5194480395940518,0.4843626063398271,0.5218564879171876,1.0,0.41901494216296764,0.4005122484007398,0.4050723017459875,0.46485207387204314,0.4850410488500844,0.5548177584005809,0.5593121542110183,0.4196374849624359,0.2680662555556838,0.4198420555337089,0.35541771448448345,0.42765019623989553,0.29436882697411126,0.37869947131751447,0.39792448325226437,0.13696759361300914,0.19629348062615554,0.17334531675766826,0.10657121495064764,0.2114814240562491,0.1739042356646144,0.18557131994856466,0.21933291313200795,0.1728625307634429,0.2134348957128369,0.18236458492486188,0.09574148644496863,0.20416059303585235,0.11225881341091133,0.08069525660394165,0.2031383328300358,0.15693952007244183,0.13713457667484988,0.1473270665472516,0.10533629666647903,0.06530314896205698,0.09240291481211033,0.16273871009736673,0.17545953765593258,0.20548912476500064,0.13629724346791247,0.1672682950932194,0.14869212509015264,0.11653314952285773,0.174015095309645,0.13488932175358576,0.23026230307954468,0.06934409762205627,0.15964190596829586,0.24705323457972173,0.2117192501719049,0.19289183278267688,0.08851267285338432,0.1289119129445,0.15220818644835094,0.1816907927471302,0.11405021788579732,0.10632519830245737,0.18245379458511105,0.15909559433759637,0.09391298080296936,0.13346495779643563,0.13593540161875575,0.1590632715100261,0.2147255221564237,0.10540890859789716,0.023983694375592533,0.016192353276316466,0.08499626992624233,0.13223909241808343,0.2643314801070727,0.2084934286579722,0.19810741094803602,0.13678857482986748,0.1256972678822392,0.10911286997128308,0.11695518999658616,0.10276131442229394,0.0550717112109137,0.12760874919060258,0.18667710966340328,0.1858328177770053,0.19651072926312463,0.23977924349482366,0.26563901868259165,0.22332520401673064,0.1844548012136906,0.15328462731100204,0.13524772443925676,0.14088058028155895,0.10829620707829113,0.19858309798232235,0.2139822621680238,0.1941007449765639,0.20850398862435032,0.19708834939843575,0.2402931255163626,0.1965645697105209,0.20763841089008214,0.20277633471966072,0.16561225549085443,0.1943933499579193,0.16610177027353337,0.19888263768540218,0.1628522872391368,0.10568434399522952,0.2114354451158685,0.15587807011608226,0.14162287016767308,0.1991888755137936,0.06269268625736325,0.12387534414612897,0.16032401000056412,0.12686183355662575,0.2826305812533157,0.32167086297480263,0.2955636257172742,0.32420899563847094,0.2896630536680531
Philadelphia,0.5419352439171919,0.48088375058711463,0.5393177805247555,0.4949642299295537,0.41901494216296764,0.9999999999999997,0.5306836769510033,0.5869536397609368,0.47396674240153724,0.6030119542458582,0.5489517729191842,0.5674930326862041,0.476831304226697,0.45235068826406594,0.455846799227233,0.4586392115938303,0.3323059253818543,0.16186763705120916,0.28465102567241335,0.2966120281830584,0.19319504640631166,0.2721417051977511,0.25946444514418177,0.1518901009462484,0.22171927350177298,0.2414175240112201,0.2805698817662958,0.17346176063249194,0.17243344475662817,0.26153973897238664,0.2047906116670136,0.09759561793435259,0.2867220538189961,0.17967219785967753,0.253564610128846,0.1774674034120946,0.17598804140205757,0.2283926568976201,0.15993850649205646,0.27960453881665237,0.15381305298653936,0.23468689771662066,0.229179938393589,0.17308411926522843,0.1805827036434245,0.2445561235649794,0.2662869271612033,0.2386333471136101,0.20957149188067267,0.28310350230321607,0.14813115276570152,0.28873218830336955,0.06159641456145782,0.17024892772654884,0.18801379786603167,0.21712065549534665,0.18855749644237216,0.1389135621805424,0.21577134660757089,0.09537487002022177,0.23308688296371433,0.19326860690614503,0.15426719952498796,0.15496092269877168,0.18674182964608887,0.14041744688797564,0.2021343772535221,0.24095035003943582,0.27808604213339505,0.3376493765213766,0.07117258484902593,0.17143487330277182,0.17888297662434613,0.17619662789231935,0.16071991932057764,0.2980596150317288,0.2505873762973865,0.19936353232334214,0.18853052259973352,0.1814436731996377,0.21606803945458378,0.16629553016002063,0.06755887106507892,0.16756066180119145,0.1606155637412245,0.24113121844788443,0.1741945873424659,0.22332504977160192,0.18599670134190074,0.2035041910798941,0.19010346833845868,0.15497728764135718,0.1374234134530068,0.08276634235222914,0.139076549579114,0.1363089606978781,0.08330545871449657,0.22230274355550483,0.26487754054796664,0.26558904159329705,0.20180230351047068,0.24793002004221962,0.23132510534762574,0.20537505535688053,0.1856115013186032,0.16727356497960963,0.20421573955283714,0.21911756494718262,0.22195555917645757,0.27536884303734327,0.1602132451832196,0.21230087134492057,0.13983240808766254,0.15940619941894832,0.20037195626036333,0.15326046491440784,0.14707641906913854,0.15948624475813736,0.1305147000266476,0.28220312891361515,0.25970070440296655,0.20401658518001178,0.18721647396970706,0.19815902585422943
San Francisco,0.48226300377686965,0.6885547217055216,0.5143778510537241,0.4642341271535849,0.4005122484007398,0.5306836769510033,0.9999999999999997,0.5246131725507976,0.6392042512235863,0.4753448597182448,0.4803517083153535,0.49864637381613164,0.3943080876456452,0.4809725926028341,0.3975374184528809,0.38365340453822205,0.48178789627122437,0.2582471732621159,0.37772561328604704,0.32954627253747376,0.25835416569763875,0.2875651361617118,0.27431709079462196,0.19741014638109022,0.3429348391274626,0.24743674453031048,0.2835975158183464,0.26527684945377084,0.2875182375133591,0.33428348524806534,0.30910507077295124,0.18067989058430461,0.3548942676391528,0.29232088708864346,0.21593129649227283,0.34297555817223274,0.32653411153562895,0.24099630637968358,0.16769677599888572,0.3119350045416273,0.20038113930488097,0.23698161637157936,0.29759975554096973,0.259994755520365,0.17413876204245243,0.08853391835039136,0.252171109064312,0.21679938531453938,0.17364093127734617,0.3366887053696072,0.22039333101046973,0.38079257253352133,0.09747643522230774,0.14919679977286934,0.17618812565760947,0.21739872039552777,0.2528126573325396,0.15427796704219984,0.2393394696320759,0.16057862575937157,0.16785475195796956,0.21803920576687924,0.22641595407831747,0.19178482142048622,0.1933162168272776,0.1664886046095365,0.23094492308180012,0.2797131773632679,0.18678782612809308,0.3425617648661645,0.17825358344143277,0.18900697584071552,0.16211397911467876,0.2281581642902605,0.13157355260567682,0.2964630109471406,0.33979326531377363,0.27625460694037063,0.2512961463051349,0.2280139141221707,0.15733919697558435,0.11413611756077595,0.13193773850207546,0.20620550167298787,0.18389777587382886,0.2535393160430285,0.20043782517780942,0.2571753042682512,0.2696762968236685,0.3263999604871274,0.2627642914949844,0.1947831425638904,0.1697926027394212,0.1407822437381543,0.16709102209537088,0.1663356080315614,0.22588933946762943,0.39174669456717626,0.3434139350696471,0.2811292463466325,0.2932090266976819,0.34280904448160804,0.2778159017299557,0.2922800357002106,0.2563469620151538,0.2338142762990219,0.2516105084439641,0.23322256813897113,0.33060318963730473,0.39077624577472125,0.18328563560416478,0.3538233998694185,0.23381715034375045,0.27674976863140444,0.2471755098276888,0.2355797066585224,0.27014124763391834,0.16249861053170603,0.23049560883277942,0.3504611932112835,0.30068698228787544,0.3415325018879746,0.22331018685971413,0.3387242447375038
Boston,0.5159923421332087,0.44278923265196735,0.5116758131397603,0.4045796683498675,0.4050723017459875,0.5869536397609368,0.5246131725507976,0.9999999999999994,0.5339960709947986,0.510220379679453,0.4248628926969416,0.5118432520244872,0.4851735976712514,0.4005366424791042,0.5118028754958567,0.4934350193788661,0.34733565468690125,0.1696294411674166,0.2682540397334901,0.2680580715984609,0.22843129173584384,0.32338731453248487,0.30820127318445195,0.23552165248503532,0.34259976752950766,0.2455603565957264,0.2941688285767965,0.17766124191852584,0.23175940960298402,0.33024240029490254,0.29012092862287575,0.19728521197583895,0.3660338291605923,0.22451954818019657,0.2151277964246235,0.21533722757501103,0.2294671586276112,0.21655062291334665,0.16357682218286299,0.31655389027608277,0.17924314770141309,0.18229604068376087,0.24248492553512593,0.22812081098496192,0.24950360975007155,0.22867992914007756,0.16754217755704057,0.14478010238935618,0.1740644957541943,0.3169179706433875,0.23751075457923315,0.3143324082949922,0.2044490536243522,0.08480524677573414,0.17848467692272998,0.16605668571266805,0.18915225442149958,0.1181068541867079,0.14679492668721617,0.20082805424119746,0.2149950989927714,0.21709959629413764,0.17240798769126559,0.19642354808150722,0.2028216606980415,0.16341364936213837,0.16762434020021513,0.24518732073013713,0.22215600677367803,0.3183025715512062,0.06255210870785169,0.10370889460986114,0.10132344469876685,0.16567827872803667,0.17398166709573717,0.17002982911478667,0.20517467999926015,0.21725057328377972,0.15793016371652605,0.20005783655679657,0.094046917296848,0.16322151337748186,0.11167245283223927,0.13890544669990781,0.1653159319449206,0.27267055676296903,0.22531782723588914,0.2536891514905783,0.21780061173800816,0.2913345039335227,0.2275670216000075,0.23187557423823793,0.23657037706407788,0.21195238276042697,0.2859930867771085,0.23011837572470983,0.13797310489247572,0.28398284963990267,0.2075793391594002,0.23000979897165377,0.26731212777561525,0.27261817081762046,0.24678223512242098,0.1822271289784702,0.2297510321627276,0.25941873863278453,0.1880405615657924,0.20327481086226767,0.24778041364492806,0.29340501276370207,0.23378536273409448,0.21259898947004416,0.21902358143299147,0.22270049619042606,0.22141655830868553,0.1848061855589201,0.230068392451957,0.17928871163232185,0.1469185110440693,0.28161315639744655,0.2496591820216669,0.20033601451098654,0.20122220455468368,0.2684580633594026
Seattle,0.40184646175921984,0.5735410702911828,0.5534562587333344,0.48847713287073846,0.46485207387204314,0.47396674240153724,0.6392042512235863,0.5339960709947986,1.0,0.5301174576780795,0.5292706302126728,0.6111441193803285,0.41385606328781366,0.446388971325291,0.43818739156838526,0.3979727142966612,0.5780277428617373,0.19793957040776583,0.3412749247023016,0.2886012595881568,0.18590612342545437,0.23849356340885272,0.2392168971598968,0.2194430742465783,0.26301011835155935,0.17956787687736445,0.21924438252660866,0.17292932929406796,0.1858460068523383,0.26931702308650796,0.2453116632830183,0.2769648119271887,0.25107266263724476,0.20710477787123233,0.17885698090508043,0.2640527287673247,0.2824775225812823,0.10949259145439393,0.13678286673882656,0.3069958809858108,0.22345291294278768,0.17105825134562078,0.25393562080706267,0.18884848986829675,0.19780409514599825,0.15487142999425058,0.18369225877693832,0.15559957036718525,0.16301355974468792,0.3521635098218907,0.3650048636620826,0.20756046299929073,0.13834660326198361,0.15721523418338032,0.26191782400726676,0.2562633897714669,0.26621863704184745,0.2055157668706218,0.1637006354667551,0.21415078336880264,0.18327008418509214,0.20638195219586172,0.20415605421193417,0.10603555656248169,0.12831091258093935,0.19536806854703828,0.20785278221365547,0.20411129137929152,0.19484274377970473,0.2880716612849533,0.10375677326190312,0.10125770368249717,0.054947950877554316,0.07452374437264005,0.08510632173199971,0.14173883145899602,0.15498086477237477,0.19023400097644186,0.18066529172486057,0.13606517048745356,0.11031707162420697,0.11295606451881897,0.10403236904863288,0.08229235321122354,0.10223186624741015,0.22961864698774184,0.22148671939267534,0.27531425542816357,0.23223562463018918,0.264749118878936,0.22652061331567233,0.1921009441986495,0.16061050356440865,0.21136236093089003,0.2689495561131393,0.16875809065495959,0.23286440577474662,0.37221527623078404,0.3494634815625175,0.3307396755541387,0.2425269400158611,0.22416363343989568,0.19904011043948897,0.1761647332783287,0.19612650800292442,0.17178951205225076,0.20892115561589905,0.23431926727522273,0.21802693728368244,0.3117544271029849,0.30309868659097006,0.29908926953778436,0.28924731260164455,0.22512705336653574,0.2485234740421561,0.16955502031325612,0.22962249574806284,0.1996843511443333,0.21947410518480154,0.3107121589044125,0.3045502737619625,0.3206330496545612,0.27717278187804845,0.38234108041311826
Atlanta,0.41435277629301737,0.48364881964017,0.5444456945423555,0.5946496684324157,0.4850410488500844,0.6030119542458582,0.4753448597182448,0.510220379679453,0.5301174576780795,0.9999999999999998,0.6099396860586062,0.5545573605565228,0.49726149979924433,0.45555688671180045,0.4491356269341891,0.4660246172512529,0.4251899646136527,0.15707559428263312,0.2825934510500943,0.284003877484579,0.25260381758010825,0.2814529656399589,0.2673365279868526,0.21659521449339433,0.24826118351256835,0.13974662209579494,0.2988797081231959,0.19975728747425564,0.16105339486582743,0.3030699362336031,0.21468211979954732,0.09178352946508313,0.31639371075640804,0.29355768509157865,0.2567465079306025,0.27367943517616733,0.30198254139531694,0.357883788180494,0.2159762084497913,0.29485237937220105,0.2700112587657565,0.25832044423166056,0.29202986304532963,0.23503983705447815,0.25923709004706846,0.2742271756180122,0.2973925050332091,0.308274813094299,0.4368053414883579,0.3402018445390612,0.1835680654128493,0.25749729199523164,0.05526650176764528,0.24521935844412932,0.35767959743701955,0.34524944729694773,0.30519940490713043,0.2677463336218137,0.30084041396715483,0.12577243421765769,0.23407816213016755,0.23796254516640478,0.2271055483985667,0.20874786768035009,0.16752179210340018,0.19861943785726288,0.24915179917105112,0.2506494683933197,0.20213000780152715,0.26370795821694676,0.1533621238914798,0.281593395514336,0.15420063660142122,0.20456477547505217,0.21678748825721944,0.36920309543145713,0.31584255187690113,0.2559341737567059,0.30162636039252516,0.21998244355674518,0.29733412438934737,0.22437257883299047,0.1978518557535695,0.206190154826396,0.22907929253563322,0.20159915641942866,0.22884259248797692,0.2401488332542189,0.27095654047371825,0.2522484757127992,0.2594190449051583,0.21306845616212386,0.19146975833007668,0.17753538493896814,0.24068122732290684,0.22895034720720353,0.15410922789670853,0.29327152635430564,0.2949319558909203,0.30618868446940223,0.3200911890432158,0.29591806624956124,0.31364263354003835,0.2218920505959595,0.24590219754573078,0.142338756298948,0.21741669766600824,0.24688140667943714,0.22999661472581936,0.24823537199249907,0.21459440986632677,0.2002967506895115,0.2520808463762063,0.19692523984292806,0.25639097235350994,0.1783781280027453,0.23883869487813453,0.17852668583491058,0.17712196460795138,0.3092392497374527,0.3297481650623863,0.24770932845288665,0.21210443502900417,0.252888028272906
